,train_loss,train_acc,train_f1,val_loss,val_acc,val_f1
0,0.3177743486382745,0.8606792355371901,0.850378860562739,0.23287522620879686,0.9182692307692307,0.9126668720949289
1,0.21950589391318234,0.9103564049586776,0.9071347929242691,0.18445702412953743,0.9282852564102565,0.9286337231398024
2,0.17781011594290083,0.9287190082644627,0.9260568456734443,0.18416915461421013,0.9346955128205128,0.9314534895238722
3,0.15629031637852842,0.9400697314049586,0.9388029348010559,0.14865544008520934,0.9507211538461539,0.9498093009191713
4,0.13690818013115363,0.9461131198347108,0.9447255530928399,0.1599205740942405,0.9483173076923077,0.9487457305770809
5,0.13199069797992707,0.950232438016529,0.9493223015550987,0.1600417712560067,0.9463141025641026,0.9206129321935814
6,0.11871305294334888,0.9556947314049586,0.9551136121004394,0.12576242636602658,0.9663461538461539,0.9647278661358972
7,0.1066533234139735,0.9582386363636364,0.9573800332793053,0.17362462270718354,0.9463141025641026,0.9423595588359248
8,0.10639272394844076,0.9614540289256199,0.9603948078119056,0.199739455890197,0.9314903846153846,0.9340638491085446
9,0.10238489596681162,0.9636492768595041,0.9631224622846455,0.11478741366702777,0.9627403846153846,0.961807454561223
