,train_loss,train_acc,train_f1,val_loss,val_acc,val_f1
0,0.3150123548101295,0.8818569214876033,0.8803881749760646,0.34288738324091983,0.8485576923076923,0.8548557829850996
1,0.18129510276696897,0.9398631198347108,0.9380825314556628,0.21281530478825936,0.921875,0.9251137337360075
2,0.1305347770791162,0.9561983471074381,0.9556427066378077,0.14618479918975097,0.9439102564102565,0.9436489951965
3,0.10803111369975589,0.9653409090909091,0.965169359959386,0.2130952849984169,0.9102564102564104,0.9131730658585363
4,0.10640373262153431,0.965702479338843,0.9645178732051025,0.23604402461877236,0.9214743589743589,0.9234760389400513
5,0.07678771559995684,0.9734504132231405,0.9729105229384973,0.07639426089679965,0.9735576923076923,0.9739058003399838
6,0.07110430945176631,0.9774147727272727,0.9764902936666041,0.07464304842198125,0.9759615384615384,0.9741406429402677
7,0.06138436407358809,0.9794163223140496,0.9792815519577829,0.25622070064911473,0.9298878205128205,0.933964684516514
8,0.05635053107239814,0.9826058884297522,0.9826192640852107,0.041692180559039116,0.9891826923076923,0.9899719667074784
9,0.04228510762226175,0.9877840909090909,0.9876387393260267,0.03649593282562609,0.9855769230769231,0.9851774367468633
